Date,Time,IATA,Airport,City,State,Checkpoint,Total_pax_kcm_pax
2023-07-02,0:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,240.0
2023-07-02,0:00,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,34.0
2023-07-02,0:00,AUS,Austin-Bergstrom International,Austin,TX,AUS01,11.0
2023-07-02,0:00,BOS,General Edward Lawrence Logan International,East Boston,MA,E2,3.0
2023-07-02,0:00,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,45.0
2023-07-02,0:00,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,4.0
2023-07-02,0:00,DCA,Ronald Reagan Washington National,Arlington,VA,North Checkpoint,3.0
2023-07-02,0:00,DEN,Denver International,Denver,CO,South,120.0
2023-07-02,0:00,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-2,14.0
2023-07-02,0:00,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Red 3,8.0
2023-07-02,0:00,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,39.0
2023-07-02,0:00,EWR,Newark Liberty International,Newark,NJ,CKPT-C1,38.0
2023-07-02,0:00,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,77.0
2023-07-02,0:00,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,137.0
2023-07-02,0:00,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T4 Checkpoint,3.0
2023-07-02,0:00,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,113.0
2023-07-02,0:00,GUM,Guam International,Tamuning,GU,GUM01,11.0
2023-07-02,0:00,HNL,Daniel K Inouye International,Honolulu,HI,HNL03,28.0
2023-07-02,0:00,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area:  PreCheck,507.0
2023-07-02,0:00,IAH,George Bush Intercontinental/Houston,Houston,TX,40/D Terminal,22.0
2023-07-02,0:00,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,5.0
2023-07-02,0:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 1,277.0
2023-07-02,0:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 4 Main,502.0
2023-07-02,0:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 5,34.0
2023-07-02,0:00,JFK,John F Kennedy International,Jamaica,NY,Terminal 8,76.0
2023-07-02,0:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - AB,15.0
2023-07-02,0:00,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,49.0
2023-07-02,0:00,LAS,Harry Reid International,Las Vegas,NV,Terminal 3 - E Upper,208.0
2023-07-02,0:00,LAX,Los Angeles International,Los Angeles,CA,Suites,4.0
2023-07-02,0:00,LAX,Los Angeles International,Los Angeles,CA,TBIT Main Checkpoint,523.0
2023-07-02,0:00,LAX,Los Angeles International,Los Angeles,CA,Terminal 3 - Passenger,17.0
2023-07-02,0:00,LAX,Los Angeles International,Los Angeles,CA,Terminal 4 - Passenger,16.0
2023-07-02,0:00,LAX,Los Angeles International,Los Angeles,CA,Terminal 5 - Passenger,11.0
2023-07-02,0:00,LAX,Los Angeles International,Los Angeles,CA,Terminal 7 - Passenger,19.0
